m/z	Intensity
100.53276	4293.00000
102.58227	5789.00000
102.58263	14610.00000
104.01410	8992.00000
106.68001	12221.00000
107.10152	8118.00000
108.00582	10846.00000
108.00620	10896.00000
108.66424	16077.00000
108.78224	5805.00000
109.16012	10088.00000
110.44860	5445.00000
112.68832	21421.00000
113.53777	10446.00000
113.53855	8732.00000
114.05704	3828.00000
114.05782	6450.00000
116.05878	46645.00000
116.05917	34457.00000
116.47453	16271.00000
116.57516	23555.00000
119.10336	4156.00000
120.69042	11443.00000
122.06869	4125.00000
122.06909	26686.00000
122.37024	5651.00000
124.34747	19374.00000
124.34989	12858.00000
127.92695	6905.00000
127.99178	12150.00000
129.69133	7013.00000
133.15671	15178.00000
133.15755	30976.00000
133.34889	16137.00000
134.04552	9668.00000
134.04594	16242.00000
134.04636	23186.00000
134.04678	16243.00000
135.58356	11097.00000
135.99524	22381.00000
136.50287	12871.00000
137.00127	19727.00000
140.39467	9796.00000
140.41917	8078.00000
140.48537	5791.00000
144.05327	387434.00000
144.05370	994973.00000
144.05414	2046953.00000
144.05457	3824177.00000
144.05501	7253369.00000
144.05545	6668962.00000
144.05588	2744727.00000
144.05632	1404124.00000
144.05675	1322718.00000
144.05719	157144.00000
144.15994	30175.00000
145.05717	9798.00000
145.05760	82847.00000
145.05804	213045.00000
145.05847	220391.00000
145.05891	243074.00000
145.05936	13348.00000
145.05978	19220.00000
145.06197	26465.00000
145.06241	97765.00000
145.06285	190341.00000
145.06328	180657.00000
145.23370	7455.00000
145.23415	10330.00000
145.64490	8176.00000
145.64534	8742.00000
145.64577	7246.00000
145.64621	7235.00000
145.85333	5863.00000
145.99617	7840.00000
146.06894	249735.00000
146.06938	928328.00000
146.06981	2020096.00000
146.07025	3793506.00000
146.07069	7544656.00000
146.07114	7663342.00000
146.07156	3438167.00000
146.07201	1402776.00000
146.07245	1386424.00000
146.07288	210092.00000
146.07332	14777.00000
146.55682	5466.00000
147.03056	15220.00000
147.03101	14061.00000
147.05344	31097.00000
147.05388	215759.00000
147.05431	652258.00000
147.05475	972093.00000
147.05519	943653.00000
147.05563	389406.00000
147.05608	200294.00000
147.05652	18850.00000
147.07323	150162.00000
147.07367	312629.00000
147.07411	404467.00000
147.07455	536134.00000
147.07498	196705.00000
147.07542	71075.00000
147.07587	24734.00000
147.07851	21379.00000
148.08626	26176.00000
148.08670	28216.00000
148.08714	17482.00000
149.39124	7872.00000
149.83223	8882.00000
150.70148	4628.00000
151.46700	9881.00000
151.56253	6762.00000
154.54706	6406.00000
154.54750	3150.00000
154.54842	4126.00000
155.16408	387708.00000
155.16454	715417.00000
155.16498	1316221.00000
155.16544	1961388.00000
155.16588	1802576.00000
155.16634	713181.00000
155.16679	465310.00000
155.16724	99862.00000
155.46152	3813.00000
156.05408	6007.00000
156.05453	96263.00000
156.05499	277840.00000
156.05544	532952.00000
156.05589	536044.00000
156.05635	242208.00000
156.05679	19514.00000
157.79570	3792.00000
157.79616	5743.00000
159.36377	4850.00000
159.79997	20978.00000
160.39156	18395.00000
162.06525	38754.00000
162.06570	93415.00000
162.06616	217132.00000
162.06662	302226.00000
162.06709	181000.00000
162.06755	38854.00000
162.06801	2876.00000
164.08104	187493.00000
164.08150	398930.00000
164.08197	711130.00000
164.08243	748698.00000
164.08290	441674.00000
164.08336	137165.00000
164.08383	43446.00000
165.01859	5558.00000
165.02417	4639.00000
165.86069	10707.00000
165.86116	21246.00000
165.86162	19782.00000
166.24303	9091.00000
167.50298	6680.00000
169.57866	6829.00000
170.25336	11472.00000
171.56116	12479.00000
172.04848	438154.00000
172.04895	1509304.00000
172.04942	3091079.00000
172.04990	10968482.00000
172.05038	25254480.00000
172.05086	63363103.00000
172.05133	104263003.00000
172.05180	85020829.00000
172.05228	25051301.00000
172.05276	14802596.00000
172.05324	10986131.00000
172.05371	3507868.00000
172.05418	1373786.00000
172.05466	770703.00000
172.05513	107835.00000
173.03473	4541.00000
173.03520	7580.00000
173.03568	42968.00000
173.03615	22962.00000
173.03664	4086.00000
173.04761	9428.00000
173.04808	23604.00000
173.04857	17410.00000
173.05238	258379.00000
173.05286	832399.00000
173.05333	1984374.00000
173.05380	3672250.00000
173.05429	8066127.00000
173.05476	12087722.00000
173.05524	9540634.00000
173.05573	3229741.00000
173.05620	2250251.00000
173.05667	1444365.00000
173.05714	644421.00000
173.05763	625089.00000
173.05811	1037334.00000
173.05858	1443512.00000
173.05905	2433945.00000
173.05954	2430335.00000
173.06001	1242300.00000
173.06049	554923.00000
173.06097	327808.00000
173.78224	7158.00000
174.05441	40248.00000
174.05490	90368.00000
174.05537	81395.00000
174.05585	115433.00000
174.05634	71919.00000
174.05681	170225.00000
174.05728	221529.00000
174.05777	277454.00000
174.05824	98996.00000
174.05872	49617.00000
174.06255	28798.00000
174.06494	61853.00000
174.06541	581779.00000
174.06590	1109824.00000
174.06638	1909969.00000
174.06686	3070279.00000
174.06734	3619340.00000
174.06781	1825906.00000
174.06830	957504.00000
174.06877	677190.00000
174.06924	56962.00000
174.27797	8181.00000
175.05119	9636.00000
175.05167	5182.00000
175.13039	6055.00000
175.13086	6057.00000
176.92538	5552.00000
178.09731	56042.00000
178.09778	223639.00000
178.09827	374921.00000
178.09875	444103.00000
178.09924	246632.00000
178.09972	95420.00000
178.10020	5749.00000
178.61610	4913.00000
180.65012	10095.00000
182.20178	12905.00000
182.20227	20342.00000
182.20276	25436.00000
183.00954	23615.00000
183.01003	175339.00000
183.01051	464660.00000
183.01102	679012.00000
183.01151	1142853.00000
183.01199	1100898.00000
183.01248	599436.00000
183.01297	249804.00000
183.01346	133631.00000
184.01732	10336.00000
184.01782	152251.00000
184.01831	315217.00000
184.01880	713795.00000
184.01929	1053180.00000
184.01979	1296422.00000
184.02028	720860.00000
184.02077	292464.00000
184.02126	167150.00000
184.02176	41954.00000
184.51906	5682.00000
185.02196	5230.00000
185.02245	13062.00000
185.02295	21209.00000
185.02344	17006.00000
185.02393	6777.00000
185.02591	26792.00000
185.02640	97933.00000
185.02689	179325.00000
185.02739	220233.00000
185.02788	152825.00000
185.02837	57073.00000
185.02887	14552.00000
185.62981	11776.00000
187.13965	21493.00000
187.87822	6096.00000
