m/z	Intensity
100.21261	18412.00000
100.27107	19647.00000
100.27144	11285.00000
100.35427	11055.00000
100.44295	10577.00000
100.47312	4730.00000
100.51566	17599.00000
100.51603	8473.00000
100.53421	9224.00000
100.53458	10210.00000
100.73106	7923.00000
100.73943	3366.00000
101.19685	13724.00000
101.19721	17203.00000
101.78223	6880.00000
101.78259	6442.00000
101.91877	16279.00000
101.97517	13769.00000
102.06310	5404.00000
102.18809	7797.00000
102.84547	18224.00000
102.90986	9206.00000
102.91022	8575.00000
102.99229	20192.00000
103.25455	4165.00000
103.41089	16134.00000
103.41125	15157.00000
103.64746	11093.00000
103.73241	3589.00000
103.73758	13560.00000
103.73832	20900.00000
103.85251	16159.00000
103.99228	13705.00000
103.99265	7740.00000
103.99302	9570.00000
103.99339	12855.00000
103.99376	13218.00000
104.03482	10166.00000
104.09328	13894.00000
104.13288	27433.00000
104.27432	11279.00000
104.39807	17224.00000
104.72520	7854.00000
104.83287	3648.00000
104.83324	3785.00000
104.83919	11481.00000
104.85813	29868.00000
104.85850	12669.00000
105.08965	15684.00000
105.09003	10584.00000
105.15250	13014.00000
105.20012	7072.00000
105.30654	12297.00000
105.33669	6338.00000
105.92085	11410.00000
106.06425	18113.00000
106.06462	27232.00000
106.06537	14068.00000
106.67664	12310.00000
106.79655	7011.00000
106.79730	13210.00000
106.81005	7863.00000
106.86292	6420.00000
106.92854	8854.00000
106.97243	17747.00000
107.01745	7090.00000
107.21153	7505.00000
107.21191	6769.00000
107.21228	5879.00000
107.24947	11716.00000
107.33776	7496.00000
107.38098	11135.00000
107.65591	17700.00000
108.17665	15127.00000
108.44656	9006.00000
109.04911	7579.00000
109.09608	14943.00000
109.52271	7733.00000
109.53638	8473.00000
109.53676	8018.00000
109.58839	5994.00000
109.61156	7332.00000
109.61194	7767.00000
109.81824	10470.00000
109.86272	8441.00000
110.05746	17499.00000
110.19106	7118.00000
110.23371	4680.00000
110.25161	5374.00000
110.27370	5341.00000
110.87099	3752.00000
110.89505	16384.00000
110.92141	6925.00000
111.34316	11951.00000
111.43696	7962.00000
111.43734	5349.00000
111.51546	6568.00000
111.51585	8141.00000
111.62274	8370.00000
111.84358	6414.00000
111.93413	6715.00000
112.26286	9840.00000
112.26324	7415.00000
112.26363	7188.00000
112.67599	19153.00000
112.94259	10493.00000
113.13348	6295.00000
113.49797	5821.00000
113.70210	4484.00000
113.81429	14138.00000
113.94937	16745.00000
113.94976	8507.00000
113.95015	12117.00000
114.08454	9045.00000
114.30083	16303.00000
114.73789	10234.00000
114.77831	7395.00000
114.77869	7317.00000
114.77908	11823.00000
114.77947	18599.00000
114.77985	22457.00000
114.79152	8232.00000
115.01197	18908.00000
115.13103	6397.00000
115.16100	12895.00000
116.23273	10716.00000
116.39860	24817.00000
116.48158	6243.00000
116.48236	6020.00000
116.67387	13440.00000
116.75420	14356.00000
116.88553	9209.00000
117.01733	10007.00000
117.03107	8945.00000
117.10367	6425.00000
117.20927	12296.00000
117.22774	9621.00000
117.62236	4827.00000
118.28772	7480.00000
118.28812	10946.00000
118.29521	7155.00000
118.46097	14061.00000
118.46136	19692.00000
118.50084	8901.00000
118.59246	5955.00000
118.59286	11429.00000
118.81693	14634.00000
119.09781	6609.00000
119.20312	13134.00000
119.38814	4856.00000
119.38853	8293.00000
119.54752	6354.00000
119.94880	5116.00000
119.98376	7677.00000
120.18488	19682.00000
120.29148	14496.00000
120.29188	13514.00000
120.29227	9963.00000
120.33683	5492.00000
120.33723	4890.00000
120.35355	10907.00000
120.44190	11689.00000
120.83432	8301.00000
120.83751	13338.00000
120.87938	6285.00000
120.92844	9601.00000
121.29327	11654.00000
121.29368	14013.00000
121.46231	3938.00000
121.94369	12396.00000
121.94409	12105.00000
121.94449	13273.00000
122.24669	5680.00000
122.47459	4008.00000
122.56332	8085.00000
122.64243	10279.00000
122.64525	9326.00000
122.74810	16649.00000
122.88799	3904.00000
122.88879	11259.00000
122.88919	18593.00000
123.10280	15070.00000
