Processing file: 110924_h12_glufib
Base Peak Intensity Threshold: 400000.0
m/z Range: 100.0 - 4000.0
Minimum Intensity for m/z: 10.0

Scan	Base Peak m/z	Base Peak Intensity	Included/Excluded
1	1570.60059	596367.00	Included
2	1570.60059	1170299.00	Included
3	1570.60059	1708601.00	Included
4	1570.60059	1715614.00	Included
5	1570.60059	1232022.00	Included
6	423.04218	986888.00	Included
7	1570.60193	1571315.00	Included
8	1570.60059	1198555.00	Included
9	634.05542	1852644.00	Included
10	634.05542	1232872.00	Included
11	423.04141	1128949.00	Included
12	423.04141	1732887.00	Included
13	1570.60059	1641453.00	Included
14	423.04141	1961322.00	Included
15	423.04218	1492963.00	Included
16	1570.60059	895370.00	Included
17	1570.60059	747258.00	Included
18	1570.60193	482017.00	Included
19	1570.60193	793965.00	Included
20	1570.60193	91902.00	Excluded (Base peak below threshold)
21	99.99994	0.00	Excluded (Base peak below threshold)
22	1570.60193	706030.00	Included
23	1570.60193	743924.00	Included
24	1570.60193	677616.00	Included
25	1570.60059	655850.00	Included
26	1570.60193	729939.00	Included
27	1570.60193	558573.00	Included
28	1570.60193	728545.00	Included
29	1570.60059	510958.00	Included
30	1570.60193	729644.00	Included
31	1570.60193	577268.00	Included
32	1570.60059	1056603.00	Included
33	1570.60193	789946.00	Included
34	1570.60193	776312.00	Included
35	1570.60059	1130771.00	Included
36	1570.60059	1056502.00	Included
37	1570.60059	671859.00	Included
38	1570.60059	632774.00	Included
39	1570.60059	575046.00	Included
40	1570.60193	313773.00	Excluded (Base peak below threshold)
41	1570.60059	285561.00	Excluded (Base peak below threshold)
42	1570.60059	270800.00	Excluded (Base peak below threshold)
43	1570.60059	1109890.00	Included
44	1570.60059	460704.00	Included
45	1570.60193	363802.00	Excluded (Base peak below threshold)
46	1570.60059	341543.00	Excluded (Base peak below threshold)
47	1570.60059	570315.00	Included
48	1570.60059	402010.00	Included
49	1570.60059	679895.00	Included
50	1570.60193	664844.00	Included
51	1570.60193	788780.00	Included
52	1570.60059	700515.00	Included
53	1570.60059	623558.00	Included
54	1570.60193	720831.00	Included
55	1570.60193	785313.00	Included
56	1570.60059	1035494.00	Included
57	1570.60059	1388933.00	Included
58	1570.60059	998793.00	Included
59	1570.60059	911898.00	Included
60	1570.60059	927344.00	Included
61	1570.60059	578810.00	Included
62	1570.59912	434880.00	Included
63	1570.60059	404304.00	Included
64	1570.60193	742299.00	Included
65	1570.60059	334345.00	Excluded (Base peak below threshold)
